source,imageURLs,productURL,reviewURL,sku,brand,model,modelNumber,title,price,ratingAvgDisplay,ratingNum,ratingAvg,questionNum,batteryLife,totalStorageCapacity,storageType,operatingSystem,processorCores,processorBrand,processorSpeedBase,processorModel,systemMemoryRam,systemMemoryRamType,graphics,screenSize,screenResolution,screenResolutionName,productWeight,color,numberOfUsbPortsTotal,numberOfUsb2Ports,numberOfUsb3Ports,backlitKeyboard,internetConnectivity,bluetoothEnabled,touchScreen,titleStandard,ReviewsN,ReviewsN_Student,ReviewsN_Professional,ReviewsN_Creative,ReviewsN_Gaming,Reviews_Personal,Reviews_travel,reviews,reviewSnippets,Bad Reviews,StudentReviews,CreativeReviews,ProfessionalReviews,GamingReviews.1,PersonalReviews,TravellingReviews,Detected_Categories
Amazon,"['https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/inspiron-notebooks/15-3530-intel/media-gallery/black/notebook-inspiron-15-3530-nt-plastic-black-gallery-2.psd?fmt=png-alpha&pscan=auto&scl=1&hei=402&wid=606&qlt=100,1&resMode=sharp2&size=606,402&chrss=full','https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/inspiron-notebooks/15-3530-intel/media-gallery/black/notebook-inspiron-15-3530-nt-plastic-black-gallery-3.psd?fmt=png-alpha&pscan=auto&scl=1&hei=402&wid=402&qlt=100,1&resMode=sharp2&size=402,402&chrss=full','https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/inspiron/15-3530-non-touch/in3530nt-cnb-00090rp090-bk-plastic-usbc-full-function.psd?fmt=png-alpha&pscan=auto&scl=1&hei=402&wid=402&qlt=100,1&resMode=sharp2&size=402,402&chrss=full']",https://www.amazon.de/Lenovo-LenovoBook 408,https://www.amazon.de/Lenovo-LenovoBook 408#reviews,LEN6680,Lenovo,LenovoBook 408,LEN-2916,Lenovo LenovoBook 408 Laptop,1174.44,4.5,373,3.8,27,6 hours,512GB Hybrid,SSD,Linux,4,AMD,2.9 GHz,i7-1255U,8 GB,DDR4,Apple GPU,15.6 inch,1366 x 768,HD,1.8 kg,Black,4,0,2,No,Wi-Fi 6,Yes,No,"Lenovo LenovoBook 408, 15.6 inch, 1366 x 768, i7-1255U","The keys C, D, E, 3, do not work what's up || Bought it for my gaming grandson so far he is well pleased. || So far everything is working just fine, no problems at all with this laptop. || Product is working great! They guys that I purchased the laptop from were great. Thanks || Battery hasn't even lasted a few months with normal use || Just what was ordered, in good shape and works great. Thank you. || Fits the description. one issue is the powersource. It is quite big. || I use it for my main business laptop no problems || It works great, Like that it has Windows 7 in it, unit it great, thanks || Excellent product fast shipping I recommend very nice and clean || Very pleased with product and was shipped ahead of schedule. || Good solid unit for it's age & price, with plenty of functionality! || I'm verry happy with this laptop,it was a good investment. || Battery would not stay charged and it was new out of the box . || I took it to Africa has no complained yet except the picture quality color. || I like it. It was delivered quickly and works so that's good . || Bad batter life and turns off every 10 minutes by itself not good at all || The first one died within a week. We are now on the replacement. || I wanted a windows 7 for a family member and she is happy with it || Did not work when I received it plus plug end had been bent and taped",,,,,,,Lightweight and travel friendly || No backlit keyboard,Fast boot and app load || Lightweight and travel friendly || Display is crisp and clear || Battery lasts all day || Great for daily tasks,Touchpad not responsive || Battery drains too quickly || Gets hot during use || Screen glare is annoying || Build feels cheap,,,,,,,professional || gaming || professional || professional || none || professional || none || professional || professional || none || none || none || none || none || none || professional || none || none || none || professional
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Dell-DellBook 919,https://www.amazon.de/Dell-DellBook 919#reviews,DEL4308,Dell,DellBook 919,DEL-2769,Dell DellBook 919 Laptop,740.56,4.4,325,4.0,19,12 hours,1024GB SSD,SSD,Windows 11,6,AMD,3.0 GHz,Ryzen 5 5600U,8 GB,DDR4,Intel Iris Xe,17 inch,1366 x 768,HD,2.5 kg,Grey,2,1,3,Yes,Wi-Fi 6,Yes,Yes,"Dell DellBook 919, 17 inch, 1366 x 768, Ryzen 5 5600U","Touch pad not sensitive enough and could have been cleaned up a bit better. || I liked everything about it Thanks to the seller again || For use in a Industrial Laundry to communicate with controls on Washer Machines. || the laptop came quick and everything seems to be working good. || Excellent in every possible way ! I use Windows XP to work offline. || Bought it as a backup, very slow web searches. Unimpressed. || Great laptop, needed an XP machine to run some older software. || Product stop working after a month of receiving it. The laptop stop turning on. || Great deal on an old machine. Just what I needed. Thanks. || Worked Perfect and couldn't even tell it was used.... Thanks || Awesome deal! Pro setup too! Great for business on travels. || I bought this for my 6 year old grandson, he loves it. || Almost like new. Works like new. Happily runs your ""obsolete"" programs and games. || So far working great. I needed this to run older programs || Crap. Laptop. Arrived with a worthless battery and is so slow it makes me crazy || I can NOT even connect to the internet 😡 Pretty much useless! || Good to have a iPad and laptop all in one. || Touch pad sensitivity constantly varying the size of the document on screen can be annoying || I love the computer and all the cool aspects of it. || Too touchy. Screens disappear and are not recoverable. It is very light.",,,,,,,Great for daily tasks || Battery drains fast,Perfect for online classes || Lightweight to carry daily || Boots quickly for notes || Great value for budget || Handles docs and browsing well,Battery drains during lectures || Trackpad glitchy sometimes || Too heavy for backpack,Perfect for online classes || Lightweight to carry daily  ,,,,,,none || none || none || professional || professional || none || none || professional || none || professional || professional || none || gaming || professional || none || none || none || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Asus-AsusBook 738,https://www.amazon.de/Asus-AsusBook 738#reviews,ASU2371,Asus,AsusBook 738,ASU-8288,Asus AsusBook 738 Laptop,1251.01,3.8,436,4.3,15,9 hours,1024GB SSD,HDD,Linux,8,AMD,3.0 GHz,i5-1135G7,8 GB,DDR4,Apple GPU,13.3 inch,1920 x 1080,Full HD,1.9 kg,Blue,3,0,1,No,Wi-Fi 5,No,Yes,"Asus AsusBook 738, 13.3 inch, 1920 x 1080, i7-1255U","slim, comfortable, real all in one device but selectively slow and has start up/standby issues || I love this thing and the price was just right. || ""Intel Core i5 3330S 1.33 GHz"" ? An i5, really? || It is ok for te price. Do not spect something new. || Needed a computer to do more than this one could do || So far after a couple of months all is still well with it. || excellent computer only problem with battery works 2-3 hours without direct electric connection. || Work wonderful!!! This was a gift for my son. He live it. || Good little machine for the office or wherever you need a reliable laptop running &#34;Pro&#34;. || Bought this for my wife. She said she has no complaints. || Do not have to do updates, or have virus protection. || Won't charge. Issue after issue with this unit I would not order again || My touch screen just is breaking little by little and gets worse every day || Just take your chance and buy it’s worth all the money it great so far || Works well. fast with no issues for what I do. || Super happy with my MacBook Air! Came in good condition no scratches, runs pretty fast. || I loved it the only thing is that it didn’t have a lot of storage || received in excellent conditions as advertised. very pleased with purchase || Amazing quality, no physical damage & runs great! Best deal for work/school!! || If you're over 60 be prepared for some very small print. Otherwise works fine.",,,,,,,Lightweight and travel friendly || No backlit keyboard,Fast multitasking performance || Crisp display for reports || Great typing experience || Long battery for meetings || Sleek and modern look,Fan noise in meetings || Lags on large spreadsheets || Docking support limited || Lacks biometric login || Low webcam resolution,,,Great typing experience || Long battery for meetings || Sleek and modern look,,,,none || none || none || none || none || none || professional || professional || professional || none || none || none || none || none || professional || none || none || none || professional || professional
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Apple-AppleBook 595,https://www.amazon.de/Apple-AppleBook 595#reviews,APP3592,Apple,AppleBook 595,APP-6942,Apple AppleBook 595 Laptop,1113.87,4.1,86,4.9,45,7 hours,512GB SSD,Hybrid,macOS,8,Intel,3.4 GHz,Ryzen 5 5600U,8 GB,DDR4,Intel Iris Xe,14 inch,2560 x 1600,Retina,1.7 kg,Black,4,0,3,Yes,Wi-Fi 5,No,No,"Apple AppleBook 595, 14 inch, 2560 x 1600, M2, ","very nice! Hope it holds up! My last Lenovo was a work horse! || Meets expectations; would have been improved with a scroll strip on the touchpad || Slow when playing games online but other than it does the job || Love the size and the keyboard. Just right for my uses. || Compact and just what I wanted and it operates as expected. || No complaints, no issues, no problems. Have recommended to many friends, coworkers and colleagues. || Box was damaged when we received it ..but works great || The chrome book is very basic. Can not play simple kids games like Roblox etc || college student here... no backlit keyboard. I like the size. very easy to use. || You can hack this thing into a Linux box really easily for web dev || I love the color and everything it was more than I thought it would be. || so far so good. It works just fine for what i use it for. || Keyboard feels cheap, but it all works. No problems so far! || Almost as good as my Asus flip. Really like the Android app options too. || Very good laptop I am very impressed and have worked and had multiple laptops. || Excellent laptop, 3 star because battery died in one month || Exactly what I wanted and needed for my small business. || Not fast and not very good apps but its pretty good other that || It was a gift and the person like it so far. || Returned right away. Awful performance. Slower than maple syrup at the North Pole!",,,,,,,Perfect for students || Touchpad not responsive,Excellent color accuracy || Handles design tools well || Smooth video editing experience || Great screen resolution || Responsive stylus support,Overheats with rendering || Limited GPU capability || Low storage for files || Not calibrated out of box || Adobe apps crash sometimes,,Smooth video editing experience || Great screen resolution,,,,,professional || none || gaming || none || travel || professional || professional || gaming || student || none || none || professional || professional || none || professional || none || professional || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Asus-AsusBook 721,https://www.amazon.de/Asus-AsusBook 721#reviews,ASU9910,Asus,AsusBook 721,ASU-4230,Asus AsusBook 721 Laptop,355.31,4.3,397,4.2,47,11 hours,1024GB SSD,SSD,macOS,2,AMD,2.4 GHz,i7-1255U,8 GB,DDR4,NVIDIA MX450,17 inch,2560 x 1600,Retina,1.9 kg,Blue,4,2,1,Yes,Wi-Fi 5,Yes,No,"Asus AsusBook 721, 17 inch, 2560 x 1600, i3-1115G4","Was a graduation present for my niece and she just loves it... Great price too || Bought this for my son as he started college. He says, &#34;It's Awesome!&#34; || The speed is very low . It's hard to use || Pay attention some things may not be comparable with windows 10 || Great deal for the price, good display, It's Lenovo - very reliable. Nice! || love battery life wish it had better file support for video formats like mkv || Very Light! Excellent value! Very Fast! Long lasting battery! Thanks. || Works well, no issues with it whatsoever. Good battery life, big screen and excellent sound. || Extremely fast and user friendly. About as good as a Chrome book can get! || For what I needed this for it is perfect. It was a great Amazon buy. || so far so good, great price, easy to use, lightweight, picture quality excellent || First time buying laptop on Amazon and would buy again || Bought as gift for wife and she's enjoyed using it so far. || Nice Chromebook, good build quality. Love having Android app access. || Shipped quickly & arrived well-packaged! Very happy with the product & experience. Would recommend! || Great product. Arrived early and works great. Exactly what we wanted. || Very pleased with this lightweight laptop. Was up and running quickly || &nbsp;Works great 👍, but the battery kinda drains fast but that's not a big issue. || arrived on time and in good shape. no nicks or dings. I like it || I don't game so I can't rate that but does everything I needed great",,,,,,,Smooth for gaming || Low frame rate occasionally,Fits in carry-on easily || Lightweight and portable || Great battery for flights || Durable build quality || Charges quickly on go,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,,,,,Screen glare in sunlight || Charger bulky for travel,none || student || none || none || none || none || none || professional || none || none || travel || none || none || none || none || professional || travel || professional || none || gaming
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Apple-AppleBook 469,https://www.amazon.de/Apple-AppleBook 469#reviews,APP7783,Apple,AppleBook 469,APP-9854,Apple AppleBook 469 Laptop,334.36,3.9,91,4.3,7,10 hours,512GB HDD,HDD,Windows 11,6,AMD,2.2 GHz,M2,32 GB,DDR4,AMD Radeon Vega 8,13.3 inch,1920 x 1080,Full HD,1.2 kg,Blue,3,2,3,Yes,Wi-Fi 5,No,No,"Apple AppleBook 469, 13.3 inch, 1920 x 1080, i5-1135G7","great laptop - everything seems to be working well - I would do it again. || Laptop did not work had to send back but never received my refund. || The battery never worked Still have to get it fixed || Battery doesn't work at all,damn thing is so slow it's useless. || Wouldn’t run unplugged from battery, wouldn’t stream from cable provider || Wow, a 35 Pack of laptops for less than $200!!! || My wife really liked it she is using it for her crocus machine || I loved the 2 way screen and the speed of laptop || This is great for on the go, laptop.Love the touch screen. Have had no issues. || Great buy -a solid small laptop for travel. Very happy with features and performance. || Very practical, fast, and light. I bought another one again. || Blue screen of death during initial setup. Sent it back. || Awesome little touch screen computer that converts into a tablet. || Great cheap computer. Battery wouldn't hold a charge but a quick and easy fix || Slow, slow slow.....only use for email and social media, but it's slow. || Great product and packaging. I'm really happy with this purchase. || Runs quickly and smoothly. Arrived quickly and was as described. Happy with the purchase. || Beautiful laptop unfortunately wifi wouldn't work so I returned it || Hard drive not recognized.... keeps saying it is not connected || There was no instructions!!!!! Everyone doesn’t no how to use computer",,,,,,,Smooth for gaming || Low frame rate occasionally,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,,,Great refresh rate display || Low input lag || Good thermal control,,,professional || professional || professional || professional || none || none || none || none || none || travel || none || none || none || none || personal || none || none || professional || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/HP-HPBook 154,https://www.amazon.de/HP-HPBook 154#reviews,HP7883,HP,HPBook 154,HP-5708,HP HPBook 154 Laptop,1466.7,4.0,488,4.4,29,11 hours,512GB HDD,Hybrid,Windows 11,8,AMD,3.3 GHz,i5-1135G7,16 GB,DDR4,AMD Radeon Vega 8,13.3 inch,1920 x 1080,Full HD,1.7 kg,Blue,4,0,2,Yes,Wi-Fi 6,Yes,No,"HP HPBook 154, 13.3 inch, 1920 x 1080, i7-1255U","Good so far for the price. Came a little scratched up but works fine. || I've had this for a year now and it's working great with no issues. || I guess it functions well considering the cost but this is much older than anticipated. || Computer was lose in the box Banged around a lot || Great refurbished computer. Works well. Pleased with my purchase so far. || Good product, very good quality, easy to use and excellent, recommended by the seller || Nice fast computer for someone that needs to surf the internet and check emails. || WHAT can i say -- works perfectly -- powerful .. lightweight || When you disconnect the charger turn off the laptop. All other good. || This is a great Chromebook. The only thing it's missing a backlit keyboard. || Purchased as a gift. The user is very happy with the product. || Right now cannot download iTunes like for windows. I may be returning it🙁 || Excellent battery life, lasts for days with casual use. Nice screen and perfect size. || Great design, performance is good enough for a very smooth multi-tab browsing + thinkpad keyboard || Great computer. Keyboard is excellent as well as the battery. Well done Lenovo! || Great chromebook. Very fast, touchpad/keyboard work great. Definitely worth the money for $180 || Speed, clarity of sound and visuals is all I expected and more. || Great tablet! Fast, does everything I need it to do! || stop taking charge only after 1 year. disappointing product and and a huge waste || I. Wanted a computer and it definitely wasn't. I returned it.",,,,,,,Fast boot and app load || No USB-C port,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,,,,Easy to use setup || Good build quality,,professional || professional || none || none || professional || none || personal || professional || none || none || none || none || none || creative || none || professional || none || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/HP-HPBook 853,https://www.amazon.de/HP-HPBook 853#reviews,HP8257,HP,HPBook 853,HP-3305,HP HPBook 853 Laptop,451.65,4.3,38,3.6,35,12 hours,1024GB HDD,Hybrid,Windows 11,2,AMD,3.0 GHz,i5-1135G7,32 GB,DDR4,NVIDIA MX450,13.3 inch,2560 x 1600,Retina,1.6 kg,Grey,2,1,2,Yes,Wi-Fi 5,No,No,"HP HPBook 853, 13.3 inch, 2560 x 1600, M2","Efficient machine. Uses Android system not Windows. Is not compatabile yet with all peripherals. || Extremely fast shipping! Great product at a low cost. Will order from again! || It’s a Chromebook what can I say? Great bang for your buck. || Easily meets the needs of my middle schooler. Perfect for homework using google products. || I purchased this for my 9 and 5 year old and it works perfectly. || The ability to transport, have not purchased cover yet orders it was too small || Excellent seller excellent quality thank you! My girls love their Chromebooks || perfect size ,had for 6 months & no down side at all. || So far it’s done it’s job. Using for kids HW and some surfing. || Awesome buy for a 9 year old. She loves it. || A Christmas gift and she is very happy with it. || Bought this for my granddaughter for remote learning. She loves it. Battery life is great. || Misleading description! This Chromebook does NOT have a touch screen. Everything else works great. || It's been working fine so far. Good price with touchscreen. || Great for my daughter's school and Roblox amd Youtube 😅 || Better than the Dell I purchased for 3 times what this cost. || Bought two. One for each of our big kids. They seem pleased. || Works very well for my granddaughters needs in third grade. || Bought for my son, cool little laptop for the price. || like the size, weight, security, functionality and ease of use",,,,,,,Great for daily tasks || Battery drains fast,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Handles lectures smoothly ,,,,,,none || none || none || professional || professional || none || none || none || personal || none || none || student || professional || professional || gaming || none || none || professional || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Acer-AcerBook 180,https://www.amazon.de/Acer-AcerBook 180#reviews,ACE2266,Acer,AcerBook 180,ACE-2425,Acer AcerBook 180 Laptop,1383.2,3.6,18,4.7,30,10 hours,256GB SSD,Hybrid,Windows 11,4,Intel,2.0 GHz,i3-1115G4,8 GB,DDR4,Intel Iris Xe,15.6 inch,1366 x 768,HD,2.4 kg,Silver,4,0,1,Yes,Wi-Fi 5,Yes,Yes,"Acer AcerBook 180, 15.6 inch, 1366 x 768, i3-1115G4","I disliked that the keys don't light up, especially when studying in the evening ! || Got a issue with wifi sometime: &#34;Downloading proxy script&#34; and it stop there. Need advise || Boots up really fast and runs cloud stuff really well. || Computer stopped working after less than one week of use. || I really like this laptop. It's fast and light weight. || works good. just like new, so far so good. best purchase made || Size, weight, screen, function - all perfect for the price. || It's a great little machine. Very light, easy to use. || I love this notebook. Still figuring out the edge concept. But I love it. || Great little computer I had an issue with however the problem was solved || Hardware problem, even reboot but the screen no response, returned. || Love that it converts to a flip book the picture is very clear || The item was that i expected. The laptop works perfectly. || not as fast as i thought given i sacrificed storage for it. || F button stopped working after only a couple weeks but bought 2 months before Christmas || Not a bad little laptop to travel light, but no touch screen || Good battery life. Good for buck. It does the job. || That's perfect good size cuz everything that a bigger one does || I like that the laptop came as described and functions well || This Chromebook is just what I wanted. It's great for my needs. Highly recommend.",,,,,,,Fast boot and app load || No USB-C port,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Boots quickly for note-taking ,,,,,,none || none || none || professional || none || professional || none || none || none || none || none || none || professional || none || professional || travel || none || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Acer-AcerBook 443,https://www.amazon.de/Acer-AcerBook 443#reviews,ACE2389,Acer,AcerBook 443,ACE-5409,Acer AcerBook 443 Laptop,1084.65,4.9,136,3.7,35,10 hours,512GB SSD,Hybrid,macOS,6,Apple,3.4 GHz,Ryzen 5 5600U,32 GB,DDR4,Intel Iris Xe,13.3 inch,1920 x 1080,Full HD,2.2 kg,Grey,2,1,3,No,Wi-Fi 6,Yes,No,"Acer AcerBook 443, 13.3 inch, 1920 x 1080, i7-1255U","Does everything I expected it to do. May get another one for myself. || Terrific buy. Perfect convenient weight and size. Battery life is amazing. Streaming couldn't be better. || It is very safe for me to use this. it is good quality. || Update, product dead. 2 months. And customer service even worse. Don't buy!!!! || Chrome book quit working just after 30 day warranty was up. Will never buy again || Great computer. Highly recommend the new SSD Hard Drive. So much quicker. || Very very slow My 6 year old laptop I am replacing is much faster. || This machine is fast & what we needed for our business! || only issue is the bottom right of the chromebook gets very hot. || its a great lap top ..works perfectly for all of my simple needs!! || I love my new HP chromebook ;works great, good and solid! || Unit is sleek, good screen resolution, and easy to use. || It stopped working a few weeks after I bought it || Not as fast as I would like, some difficulty with start up and freezing. || I love it and I do more stuff on it is a good work computer || Bought it refurbished for about $78.00 dollars here on Amazon. Works like a charm! || Great chromebook for the price. Has all the features we need. || My son's got me this for Christmas I absolutely love it. || best purchase i've made all year, change my life for the better || Very much impressed with the product. Thinking of getting another.",,,,,,,Great for daily tasks || Battery drains fast,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Great battery for lectures  ,,,,,,none || none || none || none || professional || none || none || professional || none || professional || professional || none || professional || none || professional || professional || none || none || none || none
